1;-;1;1;-;-;241999040;-
1;-;-;1;-;21;-;28198359
1;-;-;1;-;22;-;26074220
1;-;-;1;-;23;-;20274618
1;-;1;2;-;-;382635838;-
1;-;-;2;-;24;-;25315611
1;-;-;2;-;25;-;27415657
1;-;-;2;-;26;-;21164380
1;-;1;3;-;-;291629372;-
1;-;-;3;-;27;-;27439742
1;-;-;3;-;28;-;21372652
1;-;-;3;-;29;-;22139671
1;-;-;3;-;30;-;24395748
1;-;2;4;-;-;130918331;-
1;-;-;4;-;31;-;29518559
1;-;-;4;-;32;-;26326149
1;-;2;5;-;-;131833110;-
1;-;-;5;-;33;-;26414187
1;-;-;5;-;34;-;21655845
1;-;3;6;-;-;161908098;-
1;-;-;6;-;35;-;29433897
1;-;-;6;-;36;-;21890244
1;-;3;7;-;-;219778584;-
1;-;-;7;-;37;-;25290499
1;-;-;7;-;38;-;22207938
1;-;4;8;-;-;152279330;-
1;-;-;8;-;39;-;26540555
1;-;-;8;-;40;-;29009581
1;-;4;9;-;-;132508986;-
1;-;-;9;-;41;-;25006360
1;-;-;9;-;42;-;20329381
1;-;-;9;-;43;-;27267861
1;-;5;10;-;-;200301465;-
1;-;-;10;-;44;-;23074076
1;-;-;10;-;45;-;26514477
1;-;-;10;-;46;-;23955876
1;-;5;11;-;-;148178856;-
1;-;-;11;-;47;-;22991281
1;-;-;11;-;48;-;29112418
1;-;-;11;-;49;-;20794668
1;-;6;12;-;-;122352561;-
1;-;-;12;-;50;-;22971057
1;-;-;12;-;51;-;27317393
1;-;6;13;-;-;182709668;-
1;-;-;13;-;52;-;22490839
1;-;-;13;-;53;-;25418298
1;-;-;13;-;54;-;26582426
1;-;7;14;-;-;122456466;-
1;-;-;14;-;55;-;25329713
1;-;-;14;-;56;-;25029501
1;-;7;15;-;-;85799285;-
1;-;-;15;-;57;-;24348496
1;-;-;15;-;58;-;22983224
2;-;8;16;-;-;3292711010;-
2;-;-;16;-;59;-;26269182
2;-;-;16;-;60;-;25423772
